File,Word,Sum_Dist,Syllables,Length,Correlation,M05,M14,F03,M07,M08,M01,M10,M11,F04,M04,F05,M12,M16,F02,M09
B3_C10,Line,2317.9521011663,1,4,0.632005746,33.3333333333,0,33.3333333333,25,66.6666666667,28.5714285714,66.6666666667,33.3333333333,50,0,75,0,0,0,40
B3_C14,Cut,1352.0832074987,1,3,0.2277063235,0,0,0,0,0,0,0,0,0,0,28.5714285714,0,28.5714285714,28.5714285714,33.3333333333
B3_C16,Upward,1584.982327291,1,6,0.3568041515,11.7647058824,18.1818181818,0,15.3846153846,28.5714285714,20,18.1818181818,0,0,0,46.1538461538,20,42.8571428571,22.2222222222,16.6666666667
B3_C18,Left,1890.185440638,1,4,0.3140284082,0,28.5714285714,0,28.5714285714,0,0,28.5714285714,28.5714285714,0,0,22.2222222222,28.5714285714,33.3333333333,0,25
B3_C19,Right,2317.9521011663,1,5,0.2780852081,0,28.5714285714,28.5714285714,0,22.2222222222,25,22.2222222222,0,50,0,61.5384615385,28.5714285714,0,0,0
B3_C4,Enter,2323.3551533374,1,5,0.4277359578,40,25,33.3333333333,25,33.3333333333,28.5714285714,72.7272727273,0,50,25,60,40,20,22.2222222222,50
B3_C5,Tab,2038.6387615269,1,3,0.728000656,0,33.3333333333,0,0,25,0,33.3333333333,33.3333333333,0,0,40,0,0,33.3333333333,28.5714285714
B3_C7,Alt,1538.412493449,1,3,0.5790005133,0,0,0,0,33.3333333333,0,40,0,33.3333333333,0,0,0,0,0,40
B3_C9,Shift,2078.3370756449,1,5,0.259505419,0,0,0,0,20,28.5714285714,40,0,22.2222222222,0,0,0,0,0,0
B3_CW1,the,2347.0509155108,1,3,0.3770277059,0,75,50,80,66.6666666667,25,60,80,66.6666666667,0,33.3333333333,40,40,0,33.3333333333
B3_CW10,it,2078.3370756449,1,2,0.3319344214,18.1818181818,0,0,0,0,0,0,0,0,0,80,0,40,40,50
B3_CW100,yes,1890.185440638,1,3,0.8040029452,33.3333333333,80,0,66.6666666667,100,36.3636363636,100,50,50,0,100,40,0,57.1428571429,80
B3_CW11,he,2347.0509155108,1,2,0.6348619536,100,100,0,50,80,50,100,66.6666666667,100,50,80,66.6666666667,100,80,66.6666666667
B3_CW12,was,1352.0832074987,1,3,0.6211247643,57.1428571429,57.1428571429,0,40,50,40,80,33.3333333333,33.3333333333,0,85.7142857143,0,66.6666666667,80,28.5714285714
B3_CW13,for,1191.2652937109,1,3,0.6293523761,100,85.7142857143,40,66.6666666667,66.6666666667,50,85.7142857143,50,66.6666666667,66.6666666667,85.7142857143,0,80,66.6666666667,80
B3_CW14,on,1538.412493449,1,2,0.1712440356,0,0,50,0,33.3333333333,0,50,0,0,0,50,66.6666666667,0,0,50
B3_CW16,as,2038.6387615269,1,2,0.8063291887,80,100,0,0,66.6666666667,40,100,100,100,0,50,0,50,40,80
B3_CW17,with,2078.3370756449,1,4,0.5046470682,0,33.3333333333,0,28.5714285714,28.5714285714,22.2222222222,28.5714285714,25,44.4444444444,33.3333333333,88.8888888889,0,40,28.5714285714,33.3333333333
B3_CW18,his,2078.3370756449,1,3,0.7215746931,40,33.3333333333,0,0,44.4444444444,22.2222222222,57.1428571429,0,33.3333333333,0,40,0,0,40,80
B3_CW19,they,2216.205902733,1,4,0.7887918024,0,85.7142857143,0,0,66.6666666667,0,88.8888888889,28.5714285714,28.5714285714,0,100,40,66.6666666667,0,57.1428571429
B3_CW2,of,1352.0832074987,1,2,-0.2151227045,50,0,0,50,33.3333333333,50,50,50,0,40,0,33.3333333333,50,0,0
B3_CW20,I,2317.9521011663,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3_CW21,at,2038.6387615269,1,2,0.4308267335,40,50,50,0,66.6666666667,0,100,28.5714285714,0,50,80,50,0,57.1428571429,50
B3_CW22,be,2347.0509155108,1,2,0.6514122133,50,50,0,66.6666666667,50,0,100,100,50,0,100,50,0,50,50
B3_CW23,this,2078.3370756449,1,4,0.6601153162,28.5714285714,33.3333333333,33.3333333333,0,66.6666666667,33.3333333333,60,0,44.4444444444,0,60,28.5714285714,28.5714285714,0,85.7142857143
B3_CW24,have,2216.205902733,1,4,0.4912245231,33.3333333333,33.3333333333,57.1428571429,57.1428571429,85.7142857143,33.3333333333,100,40,33.3333333333,0,66.6666666667,33.3333333333,33.3333333333,57.1428571429,33.3333333333
B3_CW25,from,1352.0832074987,1,4,0.2188910269,0,75,0,33.3333333333,50,33.3333333333,66.6666666667,0,0,57.1428571429,57.1428571429,40,0,33.3333333333,0
B3_CW26,or,1191.2652937109,1,2,0.8357930348,33.3333333333,100,0,0,80,0,80,66.6666666667,80,50,66.6666666667,0,50,0,100
B3_CW27,had,2038.6387615269,1,3,0.4664661383,40,40,0,80,50,33.3333333333,80,57.1428571429,85.7142857143,0,40,40,40,66.6666666667,57.1428571429
B3_CW28,by,2317.9521011663,1,2,0.5977175671,0,0,0,40,40,0,50,0,0,0,100,0,0,0,100
B3_CW29,word,1458.1896310151,1,4,0.4176182162,33.3333333333,33.3333333333,40,0,36.3636363636,40,57.1428571429,40,57.1428571429,0,50,40,57.1428571429,33.3333333333,33.3333333333
B3_CW3,and,1352.0832074987,1,3,0.5940647186,80,66.6666666667,50,0,44.4444444444,33.3333333333,80,80,85.7142857143,28.5714285714,100,50,66.6666666667,80,80
B3_CW30,but,1352.0832074987,1,3,0.5712593141,0,0,0,0,44.4444444444,0,0,0,33.3333333333,0,100,0,0,0,100
B3_CW31,not,1538.412493449,1,3,-0.1900269631,33.3333333333,40,40,0,40,0,33.3333333333,20,40,80,40,80,0,66.6666666667,33.3333333333
B3_CW32,what,1352.0832074987,1,4,0.691143367,33.3333333333,44.4444444444,0,0,50,28.5714285714,85.7142857143,28.5714285714,57.1428571429,33.3333333333,75,33.3333333333,28.5714285714,57.1428571429,57.1428571429
B3_CW33,all,1352.0832074987,1,3,-0.050353997,14.2857142857,0,0,40,40,66.6666666667,40,40,0,0,40,40,40,100,40
B3_CW35,we,2347.0509155108,1,2,0.6198018753,0,0,0,40,100,0,100,100,40,40,100,0,0,0,50
B3_CW36,when,1890.185440638,1,4,0.6599760926,40,33.3333333333,0,0,60,54.5454545455,57.1428571429,33.3333333333,33.3333333333,28.5714285714,100,0,0,50,85.7142857143
B3_CW37,your,1191.2652937109,1,4,0.6512659804,0,72.7272727273,0,85.7142857143,66.6666666667,0,80,25,75,0,66.6666666667,0,44.4444444444,28.5714285714,25
B3_CW38,can,2038.6387615269,1,3,0.4544209279,0,33.3333333333,0,0,50,22.2222222222,100,0,100,0,66.6666666667,0,100,80,28.5714285714
B3_CW39,said,2216.205902733,1,4,0.5636613041,28.5714285714,57.1428571429,0,0,60,22.2222222222,85.7142857143,0,28.5714285714,40,85.7142857143,0,33.3333333333,50,0
B3_CW4,a,1352.0832074987,1,1,-0.0111937982,25,66.6666666667,100,0,50,66.6666666667,66.6666666667,66.6666666667,100,66.6666666667,50,50,66.6666666667,100,100
B3_CW42,an,2038.6387615269,1,2,0.6224987523,100,100,66.6666666667,50,50,25,100,50,66.6666666667,0,80,50,0,66.6666666667,100
B3_CW43,each,2347.0509155108,1,4,0.5887477779,40,40,0,28.5714285714,28.5714285714,33.3333333333,50,40,33.3333333333,0,75,0,40,33.3333333333,0
B3_CW44,which,2078.3370756449,1,5,0.695448699,50,28.5714285714,0,25,28.5714285714,16.6666666667,44.4444444444,28.5714285714,25,0,54.5454545455,28.5714285714,28.5714285714,20,25
B3_CW45,she,2347.0509155108,1,3,0.5480595421,0,40,0,80,57.1428571429,0,85.7142857143,0,85.7142857143,0,85.7142857143,0,80,57.1428571429,50
B3_CW46,do,1250.7156932756,1,2,0.3747532207,0,50,0,50,0,14.2857142857,100,0,28.5714285714,40,100,50,50,0,50
B3_CW47,how,1904.3660424139,1,3,0.7351828064,40,80,33.3333333333,40,66.6666666667,0,100,40,40,40,100,40,50,33.3333333333,40
B3_CW48,their,1890.185440638,1,5,0.6388146893,28.5714285714,20,22.2222222222,28.5714285714,72.7272727273,25,66.6666666667,80,44.4444444444,0,61.5384615385,33.3333333333,75,16.6666666667,61.5384615385
B3_CW49,if,2078.3370756449,1,2,0.3084813829,0,0,0,0,0,28.5714285714,50,0,0,0,0,0,0,0,50
B3_CW5,to,1066.2518464228,1,2,0.3399253273,0,0,0,0,40,28.5714285714,50,66.6666666667,50,40,66.6666666667,50,0,0,50
B3_CW50,will,2078.3370756449,1,4,0.7400635737,0,60,0,0,75,44.4444444444,66.6666666667,33.3333333333,57.1428571429,28.5714285714,66.6666666667,0,57.1428571429,0,57.1428571429
B3_CW51,up,1352.0832074987,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3_CW54,out,1904.3660424139,1,3,0.8283186165,40,40,0,33.3333333333,40,0,40,40,40,0,66.6666666667,0,40,40,40
B3_CW56,then,1890.185440638,1,4,0.6014161598,28.5714285714,85.7142857143,40,0,57.1428571429,30.7692307692,80,28.5714285714,88.8888888889,0,88.8888888889,0,0,50,0
B3_CW57,them,1890.185440638,1,4,0.6978655307,28.5714285714,66.6666666667,0,0,66.6666666667,13.3333333333,75,66.6666666667,28.5714285714,40,66.6666666667,0,57.1428571429,57.1428571429,28.5714285714
B3_CW59,so,1250.7156932756,1,2,0.3934721907,40,100,66.6666666667,66.6666666667,80,22.2222222222,0,33.3333333333,50,50,100,0,0,66.6666666667,100
B3_CW6,in,2078.3370756449,1,2,0.4337040134,50,50,0,0,28.5714285714,40,50,0,50,0,40,0,100,50,50
B3_CW60,some,1352.0832074987,1,4,0.6432084719,33.3333333333,33.3333333333,25,33.3333333333,75,40,50,20,66.6666666667,0,100,28.5714285714,33.3333333333,66.6666666667,85.7142857143
B3_CW61,her,1458.1896310151,1,3,0.6406236135,100,85.7142857143,50,50,50,0,80,50,33.3333333333,0,75,50,0,0,80
B3_CW62,would,1216.0777113326,1,5,0.4173848378,33.3333333333,25,33.3333333333,25,36.3636363636,20,50,0,50,28.5714285714,90.9090909091,0,57.1428571429,33.3333333333,22.2222222222
B3_CW63,make,2216.205902733,1,4,0.5821434445,33.3333333333,50,0,66.6666666667,60,0,57.1428571429,40,57.1428571429,20,85.7142857143,33.3333333333,66.6666666667,44.4444444444,22.2222222222
B3_CW64,like,2317.9521011663,1,4,0.3319915169,28.5714285714,0,0,33.3333333333,50,18.1818181818,0,28.5714285714,0,0,100,0,40,28.5714285714,0
B3_CW65,him,2078.3370756449,1,3,0.122906677,0,33.3333333333,50,0,22.2222222222,16.6666666667,28.5714285714,50,0,33.3333333333,40,0,0,0,0
B3_CW67,time,2317.9521011663,1,4,0.4486320425,33.3333333333,28.5714285714,33.3333333333,25,50,22.2222222222,28.5714285714,33.3333333333,25,0,28.5714285714,0,0,0,0
B3_CW68,has,2038.6387615269,1,3,0.664613702,66.6666666667,80,80,16.6666666667,66.6666666667,33.3333333333,80,40,40,0,80,40,40,0,80
B3_CW69,look,1216.0777113326,1,4,0.3588945159,0,28.5714285714,0,0,22.2222222222,20,57.1428571429,33.3333333333,40,0,50,57.1428571429,33.3333333333,0,0
B3_CW7,is,2078.3370756449,1,2,0.1342361011,33.3333333333,40,66.6666666667,50,33.3333333333,80,33.3333333333,0,0,0,40,0,66.6666666667,0,100
B3_CW70,more,1191.2652937109,1,4,0.5801316447,57.1428571429,85.7142857143,66.6666666667,66.6666666667,66.6666666667,33.3333333333,85.7142857143,66.6666666667,80,40,33.3333333333,0,28.5714285714,33.3333333333,88.8888888889
B3_CW72,go,1250.7156932756,1,2,0.2991811343,0,40,66.6666666667,40,100,20,0,50,40,50,100,0,100,0,66.6666666667
B3_CW73,see,2347.0509155108,1,3,0.7260532485,33.3333333333,80,0,40,50,0,40,50,33.3333333333,0,85.7142857143,0,57.1428571429,80,66.6666666667
B3_CW75,no,1250.7156932756,1,2,0.2138377374,0,0,0,50,80,14.2857142857,100,33.3333333333,66.6666666667,80,100,50,100,0,0
B3_CW76,way,2216.205902733,1,3,0.7815451082,40,100,40,40,66.6666666667,40,100,57.1428571429,80,0,66.6666666667,0,40,0,40
B3_CW77,could,1216.0777113326,1,5,0.4267372387,0,0,0,57.1428571429,54.5454545455,33.3333333333,50,28.5714285714,50,0,88.8888888889,0,25,20,0
B3_CW79,my,2317.9521011663,1,2,0.6906377334,0,0,0,28.5714285714,33.3333333333,0,80,50,33.3333333333,0,100,0,0,0,100
B3_CW8,you,1066.2518464228,1,3,0.6018334774,0,40,0,66.6666666667,75,0,100,100,100,0,100,0,100,50,28.5714285714
B3_CW80,than,2038.6387615269,1,4,0.5914760406,33.3333333333,28.5714285714,28.5714285714,0,60,23.5294117647,66.6666666667,44.4444444444,60,40,54.5454545455,33.3333333333,28.5714285714,50,60
B3_CW81,first,1458.1896310151,1,5,0.7032529979,0,88.8888888889,28.5714285714,0,53.3333333333,25,54.5454545455,0,28.5714285714,0,88.8888888889,25,25,0,60
